track_id,genre,artist_name,track_name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
4KkUjFkcQvGvWekl8RATDn,Rap,6ix9ine,BEBE (feat. Anuel Aa),88,0.172,0.635,0.902,0.0,0.125,0.109,0.28600000000000003
1rCcsYnmqbMYdkG7kS9GC5,"Dance, Pop",Robin Schulz,Speechless (feat. Erika Sirola),88,0.0161,0.574,0.728,1.42e-06,0.0851,0.062,0.266
7AFASza1mXqntmGtbxXprO,Rap,XXXTENTACION,changes,88,0.883,0.669,0.308,0.0,0.0984,0.029,0.52
75ZvA4QfFiZvzhj2xkaWAh,"Rap, Pop",Post Malone,I Fall Apart,88,0.0689,0.556,0.5379999999999999,0.0,0.196,0.0382,0.29100000000000004
4T652DlATVHe0jdLKaN3Bw,"Dance, Pop",Ariana Grande,in my head,88,0.173,0.662,0.6,0.00013700000000000002,0.109,0.0703,0.331
2G7V7zsVDxg1yRsu7Ew9RJ,"Hip-Hop, Rap, Pop",Drake,In My Feelings,88,0.0589,0.835,0.626,6e-05,0.396,0.125,0.35
4NBTZtAt1F13VvlSKe6KTl,"Dance, Pop",The Chainsmokers,This Feeling,88,0.0558,0.575,0.5710000000000001,0.0,0.0912,0.0439,0.449
08bNPGLD8AhKpnnERrAc6G,Pop,Marshmello,FRIENDS,88,0.205,0.626,0.88,0.0,0.128,0.0504,0.534
3ao3OVxHlb3C08vAaApUlm,"Dance, Pop",Luis Fonsi,Imposible,88,0.122,0.7859999999999999,0.764,0.0,0.102,0.0798,0.913
04MLEeAMuV9IlHEsD8vF6A,"Hip-Hop, Rap, Pop",French Montana,No Stylist,88,0.0215,0.765,0.7040000000000001,0.0,0.227,0.127,0.498
6zeeWid2sgw4lap2jV61PZ,Pop,Khalid,Better,88,0.0765,0.596,0.552,0.334,0.104,0.097,0.112
1zB4vmk8tFRmM9UULNzbLB,Rock,Imagine Dragons,Thunder,88,0.00671,0.605,0.8220000000000001,0.134,0.147,0.0438,0.28800000000000003
5tAa8Uaqr4VvA3693mbIhU,"Dance, Pop, R&B",Zara Larsson,Ruin My Life,88,0.423,0.665,0.6990000000000001,0.0,0.0969,0.0578,0.585
14sOS5L36385FJ3OL8hew4,Pop,Kygo,Happy Now,88,0.374,0.693,0.575,0.0,0.252,0.0801,0.4920000000000001
79OEIr4J4FHV0O3KrhaXRb,"Hip-Hop, Rap",Rich The Kid,Splashin,88,0.00195,0.942,0.383,0.0,0.0922,0.565,0.38
1rfofaqEpACxVEHIZBJe6W,"Dance, Pop, R&B",Camila Cabello,Havana,88,0.184,0.765,0.523,3.5600000000000005e-05,0.132,0.03,0.394
1wjzFQodRWrPcQ0AnYnvQ9,"Dance, Pop",Lauv,I Like Me Better,87,0.535,0.752,0.505,2.55e-06,0.104,0.253,0.419
2iUXsYOEPhVqEBwsqP70rE,"Dance, Pop",5 Seconds of Summer,Youngblood,87,0.0169,0.596,0.8540000000000001,0.0,0.124,0.463,0.152
0LQ1J0BCzA2qnAgp9MkkNE,Rap,6ix9ine,MALA (feat. Anuel Aa),87,0.6890000000000001,0.7190000000000001,0.825,0.0,0.103,0.0424,0.789
2rbDhOo9Fh61Bbu23T2qCk,"Dance, Pop",Lady Gaga,Always Remember Us This Way,87,0.299,0.5529999999999999,0.502,0.0,0.764,0.0409,0.29600000000000004
7AQim7LbvFVZJE3O8TYgf2,"Hip-Hop, Rap",XXXTENTACION,Fuck Love (feat. Trippie Redd),87,0.0172,0.797,0.5329999999999999,0.000152,0.103,0.0412,0.329
7lAK3oHbfEnvUQWosrMMpR,"Rap, Pop",Travis Scott,YOSEMITE,87,0.28300000000000003,0.785,0.5539999999999999,3.4e-06,0.116,0.0409,0.14400000000000002
4qKcDkK6siZ7Jp1Jb4m0aL,"Hip-Hop, Rap, Pop",BlocBoy JB,Look Alive (feat. Drake),87,0.00104,0.922,0.581,5.86e-05,0.105,0.27,0.595
3V8UKqhEK5zBkBb6d6ub8i,Hip-Hop,Nio Garcia,Te Boté - Remix,87,0.542,0.903,0.675,1.28e-05,0.0595,0.214,0.442
7jr3iPu4O4bTCVwLMbdU2i,"Dance, Pop",Dua Lipa,Kiss and Make Up,87,0.0658,0.6779999999999999,0.7290000000000001,0.0,0.303,0.13699999999999998,0.643
3a1lNhkSLSkpJE4MSHpDu9,"Rap, Pop",Post Malone,Congratulations,87,0.215,0.63,0.804,0.0,0.253,0.0363,0.4920000000000001
4OafepJy2teCjYJbvFE60J,"Dance, Pop",Ariana Grande,breathin,87,0.0211,0.568,0.6559999999999999,1.3699999999999998e-05,0.213,0.0433,0.364
09IStsImFySgyp0pIQdqAc,"Dance, Pop",Zedd,The Middle,87,0.171,0.753,0.657,0.0,0.112,0.0449,0.4370000000000001
4mGdjNMo0RonTlOEb7cYg4,"Indie, Rock",YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),87,0.0116,0.464,0.852,0.0,0.108,0.067,0.233
5N4erncE7kuUccm7zEmwzk,Pop,Silk City,Electricity (with Dua Lipa),87,0.0104,0.588,0.67,3.33e-06,0.338,0.0473,0.505
6kPJZM97LwdG9QIsT7khp6,"Dance, Pop",Clean Bandit,Solo (feat. Demi Lovato),87,0.0441,0.737,0.636,6.659999999999999e-05,0.35,0.0437,0.565
4txc3txsIt81diMzGhrVPS,Pop,Billie Eilish,wish you were gay,87,0.39,0.853,0.35100000000000003,9.38e-06,0.752,0.241,0.282
4ofwffwvvnbSkrMSCKQDaC,Pop,George Ezra,Shotgun,87,0.28600000000000003,0.672,0.735,0.0,0.242,0.0457,0.754
25F6MWrnFBCXVnpN4n76EK,"Hip-Hop, Rap, Pop",Logic,Keanu Reeves,87,0.0591,0.71,0.888,0.0,0.134,0.235,0.816
2QZ7WLBE8h2y1Y5Fb8RYbH,"Dance, Pop",Shawn Mendes,In My Blood,87,0.0573,0.622,0.7120000000000001,0.0,0.13,0.066,0.487
7uQmJ1jgNzBpATSoWKSPFu,Pop,Sebastian Yatra,Ya No Tiene Novio,87,0.048,0.632,0.8320000000000001,0.0,0.0705,0.154,0.784
6JQvHMSaR8flFsN53ypOfP,Rap,Lil Mosey,Noticed,87,0.462,0.6990000000000001,0.5579999999999999,0.0,0.116,0.0603,0.493
5600nq7TiBraBX2jobyJ3l,"Dance, Pop",Dua Lipa,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",87,0.00579,0.588,0.821,0.000275,0.208,0.21600000000000005,0.509
27356GVuMPFWiJSZCragoM,"Dance, Pop",Ariana Grande,make up,87,0.0844,0.6709999999999999,0.7140000000000001,1.48e-06,0.0568,0.21,0.477
4S8d14HvHb70ImctNgVzQQ,"Rap, Pop",Kanye West,I Love It (& Lil Pump),87,0.0114,0.901,0.522,0.0,0.259,0.33,0.329
4jvjzW7Hm0yK4LvvE0Paz9,"Hip-Hop, Rap",Lil Peep,Falling Down - Bonus Track,87,0.0175,0.669,0.574,0.00294,0.146,0.0286,0.273
2XXMDz7SPZ4mSFN1PXfHUy,Pop,Becky G,Cuando Te Besé,87,0.307,0.772,0.732,5.14e-06,0.106,0.213,0.295
7qiZfU4dY1lWllzX7mPBI3,Pop,Ed Sheeran,Shape of You,87,0.581,0.825,0.652,0.0,0.0931,0.0802,0.931
5OCJzvD7sykQEKHH7qAC3C,"Dance, Pop",Ariana Grande,God is a woman,87,0.0233,0.602,0.6579999999999999,6e-05,0.237,0.0558,0.268
1fewSx2d5KIZ04wsooEBOz,"Hip-Hop, Rap, Pop",Metro Boomin,Space Cadet (feat. Gunna),87,0.368,0.901,0.464,1.7100000000000002e-05,0.238,0.0645,0.638
7vGGAJBkHKxKtOnGjQduDV,Pop,Khalid,Saturday Nights,87,0.635,0.54,0.439,1.93e-05,0.0993,0.115,0.371
51NFxnQvaosfDDutk0tams,Pop,Billie Eilish,bellyache,87,0.46,0.695,0.573,0.0734,0.482,0.106,0.408
6xtcFXSo8H9BZN637BMVKS,"Dance, Pop, R&B",Rita Ora,Let You Love Me,86,0.28800000000000003,0.531,0.8540000000000001,0.0,0.0773,0.198,0.456
577YBGuskWkVDCxZrLRB4v,"Hip-Hop, Rap, Pop",Lil Baby,Pure Cocaine,86,0.00127,0.964,0.487,6.57e-06,0.115,0.421,0.107
2JqnpexlO9dmvjUMCaLCLJ,Pop,Lukas Graham,Love Someone,86,0.161,0.55,0.415,0.0,0.108,0.052000000000000005,0.274
3GVkPk8mqxz0itaAriG1L7,"Hip-Hop, Rap",XXXTENTACION,Everybody Dies In Their Nightmares,86,0.847,0.7340000000000001,0.57,2.14e-05,0.112,0.133,0.6890000000000001
4kWO6O1BUXcZmaxitpVUwp,"Dance, Pop",Tiësto,Jackie Chan,86,0.374,0.747,0.8340000000000001,0.0,0.0586,0.045,0.687
2ijef6ni2amuunRoKTlgww,Pop,Becky G,Sin Pijama,86,0.354,0.7909999999999999,0.745,2.93e-05,0.104,0.0464,0.82
7KXjTSCq5nL1LoYtL7XAwS,"Hip-Hop, Rap, Pop",Kendrick Lamar,HUMBLE.,86,0.000282,0.908,0.621,5.39e-05,0.0958,0.102,0.421
60SdxE8apGAxMiRrpbmLY0,"Hip-Hop, Rap",Eminem,Lucky You (feat. Joyner Lucas),86,0.0627,0.8759999999999999,0.7859999999999999,0.0,0.127,0.306,0.575
7BKLCZ1jbUBVqRi2FVlTVw,"Dance, Pop",The Chainsmokers,Closer,86,0.414,0.748,0.524,0.0,0.111,0.0338,0.6609999999999999
3u1S1OmAUhx5DRlLrXqyp3,"Dance, Pop",Jonas Blue,Rise,86,0.32299999999999995,0.69,0.784,0.0,0.203,0.032,0.669
4VXIryQMWpIdGgYR4TrjT1,Rap,Juice WRLD,All Girls Are The Same,86,0.0769,0.6709999999999999,0.529,0.000335,0.0856,0.307,0.203
2c7GlMNmF7pbohjykutmLP,"Dance, Pop",Sia,"Thunderclouds (with Sia, Diplo & Labrinth)",86,0.0085,0.691,0.716,9.06e-06,0.263,0.0351,0.507
5rFj8OzffT0iggSjcBaeND,Pop,Sam Smith,"Fire On Fire - From ""Watership Down""",86,0.476,0.584,0.407,0.0,0.18,0.046,0.341
76cy1WJvNGJTj78UqeA5zr,"Dance, Pop",Dua Lipa,IDGAF,86,0.0403,0.836,0.544,0.0,0.0824,0.0943,0.51
7ycWLEP1GsNjVvcjawXz3z,"Hip-Hop, Rap, Pop",A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),86,0.0609,0.85,0.569,0.0816,0.1,0.136,0.294
45Egmo7icyopuzJN0oMEdk,Pop,Khalid,Love Lies (with Normani),86,0.0956,0.708,0.648,0.0,0.134,0.0449,0.338
1HNkqx9Ahdgi1Ixy2xkKkL,Pop,Ed Sheeran,Photograph,86,0.607,0.614,0.379,0.000464,0.0986,0.0476,0.201
7sO5G9EABYOXQKNPNiE9NR,"Hip-Hop, Rap, Pop",Offset,Ric Flair Drip (& Metro Boomin),86,0.149,0.88,0.428,5.07e-05,0.114,0.206,0.333
2BgEsaKNfHUdlh97KmvFyo,"Dance, Pop",Anne-Marie,2002,86,0.0372,0.6970000000000001,0.6829999999999999,0.0,0.13699999999999998,0.117,0.603
7GX5flRQZVHRAGd6B4TmDO,"Rap, Pop",Lil Uzi Vert,XO TOUR Llif3,86,0.00264,0.732,0.75,0.0,0.109,0.231,0.401
2zDj4WjbNDmrRL6Z4YjjCA,Pop,Reik,Amigos Con Derechos,86,0.0481,0.6859999999999999,0.807,0.0,0.0652,0.0613,0.63
0tBbt8CrmxbjRP0pueQkyU,"Dance, Pop",Selena Gomez,Wolves,86,0.129,0.72,0.807,0.0,0.183,0.0432,0.305
7uiBocndm12aKbsdnQ3Scx,"Dance, Rap, Pop, R&B",Chris Brown,Undecided,86,0.172,0.441,0.527,0.0,0.233,0.0966,0.589
7uzmGiiJyRfuViKKK3lVmR,"Dance, Pop",Bazzi,Mine,86,0.0161,0.71,0.789,2.77e-06,0.451,0.0722,0.7170000000000001
5Z3GHaZ6ec9bsiI5BenrbY,Pop,Khalid,Young Dumb & Broke,86,0.199,0.7979999999999999,0.539,1.66e-05,0.165,0.0421,0.394
2ekn2ttSfGqwhhate0LSR0,"Dance, Pop",Dua Lipa,New Rules,86,0.0026100000000000003,0.762,0.7,1.56e-05,0.153,0.0694,0.608
3CA9pLiwRIGtUBiMjbZmRw,"Hip-Hop, Rap, Pop",Drake,Nice For What,86,0.0891,0.586,0.909,0.000109,0.119,0.0705,0.757
7vGuf3Y35N4wmASOKLUVVU,Pop,Marshmello,Silence,86,0.256,0.52,0.7609999999999999,4.96e-06,0.17,0.0853,0.28600000000000003
7FjZU7XFs7P9jHI9Z0yRhK,"Dance, Pop",NOTD,So Close,86,0.121,0.7,0.872,7.08e-06,0.103,0.0666,0.7609999999999999
7hDVYcQq6MxkdJGweuCtl9,Pop,Billie Eilish,ocean eyes,86,0.816,0.511,0.363,0.0317,0.084,0.041,0.16899999999999998
3Kuu5vASpXK8oRsxOvau6P,Pop,Kygo,Think About You (feat. Valerie Broussard),86,0.166,0.6729999999999999,0.596,0.0,0.11,0.0354,0.19
6gBFPUFcJLzWGx4lenP6h2,"Rap, Pop",Travis Scott,goosebumps,86,0.0847,0.841,0.728,0.0,0.149,0.0484,0.43
2IA8cFA46DkjgbsRG7kKbp,Rap,Amenazzy,Baby,86,0.327,0.7,0.71,0.0,0.129,0.0532,0.5820000000000001
04ZTP5KsCypmtCmQg5tH9R,"Dance, Pop",Bebe Rexha,I'm a Mess,86,0.00281,0.63,0.6940000000000001,0.0,0.0719,0.0253,0.21600000000000005
4QIyEq7TcTdAcxjI2AFlAK,Rap,6ix9ine,"FEFE (feat. Nicki Minaj, Murda Beatz)",86,0.08800000000000001,0.931,0.387,0.0,0.136,0.412,0.376
1WSGTYKLEpKfNQYYW5Oymt,"Dance, Pop",benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",86,0.404,0.541,0.468,3.65e-06,0.358,0.362,0.69
